id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
34664,Fable Anniversary,Xbox 360,,,,,,,,,,,,Wishlist
11888,Army of Two,Xbox 360,,,,,,,,,,,,Wishlist
34757,Terraria,Xbox 360,,,,,,,,,,,,Wishlist
34987,Sacred 3,Xbox 360,,,,,,,,,,,,Wishlist
21607,Toy Story 3: The Video Game,Xbox 360,,,,,,,,,,,,Wishlist
15939,Banjo-Kazooie: Nuts & Bolts,Xbox 360,,,,,"Seul jeu Banjo-Kazooie en disque physique sur 360 (l'original est en Xbox Live Arcade uniquement)",,,,,,,Wishlist
22066,Dead Rising 2,Xbox 360,,,,,,,,,,,,Wishlist
32281,Disneyland Adventures,Xbox 360,,,,,"Kinect",,,,,,,Wishlist
15892,James Bond 007: Quantum of Solace,Xbox 360,,,,,,,,,,,,Wishlist
30616,James Bond 007: Blood Stone,Xbox 360,,,,,,,,,,,,Wishlist
31827,The Cursed Crusade,Xbox 360,,,,,,,,,,,,Wishlist
32895,Spec Ops: The Line,Xbox 360,,,,,,,,,,,,Wishlist
34881,Wolfenstein: The New Order,Xbox 360,,,,,,,,,,,,Wishlist
22134,Lara Croft and the Guardian of Light,Xbox 360,,,,,,,,,,,,Wishlist
10637,Just Cause,Xbox 360,,,,,,,,,,,,Wishlist
21098,Just Cause 2,Xbox 360,,,,,,,,,,,,Wishlist
31741,Gears of War 3,Xbox 360,,,,,,,,,,,,Wishlist
33926,Gears of War: Judgment,Xbox 360,,,,,,,,,,,,Wishlist
9508,The Orange Box,Xbox 360,,,,,"Contient Half-Life 2, Episode One, Episode Two, Portal, Team Fortress 2",,,,,,,Wishlist
,Portal 2,Xbox 360,,,,,,,,,,,,Wishlist
10704,Shrek the Third,Xbox 360,,,,,,,,,,,,Wishlist
21309,Shrek Forever After,Xbox 360,,,,,,,,,,,,Wishlist
6768,Tom Clancy's Rainbow Six Vegas,Xbox 360,,,,,,,,,,,,Wishlist
10613,Condemned: Criminal Origins,Xbox 360,,,,,,,,,,,,Wishlist
14084,Condemned 2: Bloodshot,Xbox 360,,,,,,,,,,,,Wishlist
21353,Blur,Xbox 360,,,,,,,,,,,,Wishlist
21578,Singularity,Xbox 360,,,,,,,,,,,,Wishlist
21135,Prison Break: The Conspiracy,Xbox 360,,,,,,,,,,,,Wishlist
10657,Perfect Dark Zero,Xbox 360,,,,,,,,,,,,Wishlist
35136,Alien: Isolation,Xbox 360,,,,,,,,,,,,Wishlist
20427,Aliens vs. Predator,Xbox 360,,,,,,,,,,,,Wishlist
14841,Infinite Undiscovery,Xbox 360,,,,,,,,,,,,Wishlist
2576818,From Dust,Xbox 360,,,,,,,,,,,,Wishlist
20407,Dante's Inferno,Xbox 360,,,,,,,,,,,,Wishlist
34099,Dark,Xbox 360,,,,,,,,,,,,Wishlist
16240,Afro Samurai,Xbox 360,,,,,,,,,,,,Wishlist
17641,The Chronicles of Riddick: Assault on Dark Athena,Xbox 360,,,,,,,,,,,,Wishlist
2204420,Bloodforge,Xbox 360,,,,,,,,,,,,Wishlist
15762,Legendary,Xbox 360,,,,,,,,,,,,Wishlist
33974,The Walking Dead: Survival Instinct,Xbox 360,,,,,,,,,,,,Wishlist
32620,Silent Hill: Downpour,Xbox 360,,,,,,,,,,,,Wishlist
21540,Naughty Bear,Xbox 360,,,,,,,,,,,,Wishlist
19705,Saw,Xbox 360,,,,,,,,,,,,Wishlist
30277,Saw II: Flesh & Blood,Xbox 360,,,,,,,,,,,,Wishlist
34087,Deadpool,Xbox 360,,,,,,,,,,,,Wishlist
,Jade Empire,Xbox,,,,,,,,,,,,Wishlist
,Phantasy Star Online Episode I & II,Xbox,,,,,,,,,,,,Wishlist
,Soldier of Fortune II: Double Helix,Xbox,,,,,"Substitut : le premier Soldier of Fortune n'est jamais sorti sur Xbox",,,,,,,Wishlist
,Indigo Prophecy,Xbox,,,,,,,,,,,,Wishlist
,TimeSplitters 2,Xbox,,,,,"Le premier TimeSplitters n'est jamais sorti sur Xbox (PS2 uniquement)",,,,,,,Wishlist
,TimeSplitters: Future Perfect,Xbox,,,,,,,,,,,,Wishlist
,Baldur's Gate: Dark Alliance,Xbox,,,,,"Substitut : le RPG original Baldur's Gate n'est jamais sorti sur Xbox",,,,,,,Wishlist
,Gauntlet: Dark Legacy,Xbox,,,,,,,,,,,,Wishlist
35631,Resident Evil: Revelations 2,Xbox 360,,,,,,,,,,,,Wishlist
16363,Halo Wars,Xbox 360,,,,,,,,,,,,Wishlist
,Halo: Spartan Assault,Xbox 360,,,,,"Jeu numerique uniquement, aucune version physique n'existe",,,,,,,Wishlist
10609,Call of Duty 2,Xbox 360,,,,,,,,,,,,Wishlist
16094,Prince of Persia,Xbox 360,,,,,"Reboot 2008",,,,,,,Wishlist
21302,Prince of Persia: The Forgotten Sands,Xbox 360,,,,,,,,,,,,Wishlist
