gameId,title,console,reason
gen-f8f5bb8661b2,Fable Anniversary,Xbox 360,non recherché
gen-97f900899226,Army of Two,Xbox 360,non recherché
gen-7a3ec9069e64,Terraria,Xbox 360,non recherché
gen-db7ecdef8fe5,Sacred 3,Xbox 360,non recherché
gen-41f49a24cf11,Toy Story 3: The Video Game,Xbox 360,non recherché
gen-6cd3b0900fd7,Tales of Vesperia,Xbox 360,non recherché
gen-20976995b0f0,Banjo-Kazooie: Nuts & Bolts,Xbox 360,non recherché
gen-a48e7d45d0aa,Dead Rising 2,Xbox 360,non recherché
gen-28a28c3e39cc,Disneyland Adventures,Xbox 360,non recherché
gen-0801c5461406,James Bond 007: Quantum of Solace,Xbox 360,non recherché
gen-9efafe7d19ff,James Bond 007: Blood Stone,Xbox 360,non recherché
gen-4ff5edb500b3,The Cursed Crusade,Xbox 360,non recherché
gen-52a5d779f6f8,Spec Ops: The Line,Xbox 360,non recherché
gen-3c1b54a04322,Wolfenstein: The New Order,Xbox 360,non recherché
gen-e8bdad97bbe0,Lara Croft and the Guardian of Light,Xbox 360,non recherché
gen-d52980b43ecf,Just Cause,Xbox 360,non recherché
gen-9e22d5df1612,Just Cause 2,Xbox 360,non recherché
gen-3dd965832562,Gears of War 3,Xbox 360,non recherché
gen-ee1edde63ead,Gears of War: Judgment,Xbox 360,non recherché
gen-f1245e8cce95,The Orange Box,Xbox 360,non recherché
gen-bd76acfc4d1a,Portal 2,Xbox 360,non recherché
gen-109d584dc73c,Shrek the Third,Xbox 360,non recherché
gen-e4b4bd140a28,Shrek Forever After,Xbox 360,non recherché
gen-e4ca5477ad91,Tom Clancy's Rainbow Six Vegas,Xbox 360,non recherché
gen-bc2e4bb52b29,Condemned: Criminal Origins,Xbox 360,non recherché
gen-2cab1e54047b,Condemned 2: Bloodshot,Xbox 360,non recherché
gen-b017a3e4ed15,Blur,Xbox 360,non recherché
gen-391190df1d59,Singularity,Xbox 360,non recherché
gen-c5c3d57ec8d6,Prison Break: The Conspiracy,Xbox 360,non recherché
gen-0ca3a785abc3,Perfect Dark Zero,Xbox 360,non recherché
gen-29ffa04c4265,Alien: Isolation,Xbox 360,non recherché
gen-1d83cb12fdff,Aliens vs. Predator,Xbox 360,non recherché
